date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2020-06-17,66,60,48,72,69,56,75,100,28560,22470,6090,3600,14310,4560,38,79,1410,15420,,2020-06-16T20:08:23+10:00,2020-06-17T04:04:23+10:00,68.18,57,36,0.02,14.375,47,52,78,1,1,45,100,112,2288,500,2127,1364,739,556,100,4,0,41,1.25,2,73,47,76,97,96,100,66,86,47
2020-06-18,90,100,98,94,93,56,86,93,38940,34770,4170,8250,20640,5880,38,89,1200,19920,,2020-06-17T21:41:09+10:00,2020-06-18T08:30:09+10:00,64.73,57,39,0.07,14.875,48,61,78,1,1,40,100,120,2284,650,2452,1539,667,633,94,8,0,38,1.21875,2,87,95,80,88,99,99,93,86,76
2020-06-19,75,79,94,48,74,47,91,100,33720,27480,6240,7020,17430,3030,47,81,690,17910,,2020-06-18T21:34:50+10:00,2020-06-19T06:56:50+10:00,68.81,60,27,-0.06,14.125,39,20,60,1,1,34,100,88,2308,500,1696,1010,967,389,80,4,0,0,1.28125,3,77,65,77,91,96,100,76,80,61
2020-06-20,74,87,98,52,83,50,86,36,34620,29370,5250,8370,17730,3270,43,85,570,17850,,2020-06-20T00:09:01+10:00,2020-06-20T09:46:01+10:00,69.54,61,28,0.02,14.625,50,37,60,1,40,66,100,420,2664,500,8157,7104,860,412,110,54,4,0,1.46875,3,71,63,76,76,92,100,59,73,57
2020-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,60,68,95,1,40,76,100,276,2483,500,5119,4527,649,499,120,26,2,144,1.34375,1,,,,,,,,,
2020-06-22,53,52,51,57,83,49,89,1,24480,20460,4020,3810,13080,3570,44,84,660,11910,,2020-06-22T05:07:31+10:00,2020-06-22T11:55:31+10:00,68.14,61,29,-0.06,14.75,61,67,100,1,40,76,100,239,2423,300,5175,4026,607,667,148,17,1,0,1.3125,0,62,20,67,86,100,100,51,67,60
2020-06-23,70,75,97,41,72,49,89,64,33060,26460,6600,7950,15900,2610,44,80,1140,16860,,2020-06-22T23:29:31+10:00,2020-06-23T08:40:31+10:00,68.14,61,26,-0.1,14.625,57,54,78,1,40,84,100,299,2511,350,6032,4880,720,528,159,33,0,0,1.375,2,69,54,64,90,99,100,52,58,90
2020-06-24,61,50,47,56,83,46,75,100,23160,19800,3360,3510,12780,3510,47,85,360,11250,,2020-06-23T23:42:31+10:00,2020-06-24T06:08:31+10:00,62.22,55,36,-0.39,14.125,56,41,95,1,40,73,100,128,2353,350,2377,1509,821,498,115,6,0,0,1.28125,1,67,36,57,83,97,92,100,63,44
2020-06-25,79,96,97,88,88,52,81,18,36960,32070,4890,7920,18630,5520,43,87,450,18150,,2020-06-25T01:06:30+10:00,2020-06-25T11:22:30+10:00,68.3,59,30,0.19,14,55,61,78,1,40,59,100,121,2269,500,2158,1867,661,671,102,6,0,0,1.21875,2,73,73,61,83,99,88,61,61,100
2020-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,73,79,100,25,71,87,100,569,2817,500,10542,9524,520,460,291,61,3,105,1.53125,0,,,,,,,,,
2020-06-27,62,68,82,41,93,50,72,18,27300,24420,2880,6120,15660,2640,46,89,300,13440,,2020-06-27T02:23:42+10:00,2020-06-27T09:58:42+10:00,70.54,61,24,0.06,14.125,76,79,100,43,40,95,100,360,2514,300,7380,6134,520,686,187,46,1,0,1.34375,0,58,37,60,84,93,100,36,51,71
2020-06-28,62,75,75,60,58,58,1,76,35700,26280,9420,5640,16890,3750,38,74,4860,20130,,2020-06-27T22:11:21+10:00,2020-06-28T08:06:21+10:00,65.38,55,36,0.04,14.125,80,54,100,60,71,97,100,706,3019,350,13172,11772,727,383,242,79,9,0,1.65625,0,68,37,60,91,90,100,97,58,64
2020-06-29,82,98,100,100,90,60,86,11,37500,32820,4680,9420,13230,10170,34,88,600,19080,,2020-06-29T01:32:41+10:00,2020-06-29T11:57:41+10:00,67.4,58,31,0.14,14.25,85,92,95,60,71,97,100,246,2360,500,4696,4237,415,748,193,12,2,70,1.25,1,75,79,67,64,76,93,96,58,89
2020-06-30,55,39,49,95,76,71,86,1,20880,17040,3840,3690,7230,6120,26,82,600,11040,,2020-06-30T11:41:30-07:00,2020-06-30T17:29:30-07:00,63.64,58,34,-0.41,13,81,41,60,78,96,97,100,514,2769,250,10560,9358,845,272,267,56,0,0,1.53125,3,61,23,57,99,79,91,79,63,40
2020-07-01,62,31,38,84,95,69,89,100,16740,14970,1770,2880,6810,5280,25,89,660,8490,,2020-06-30T22:43:08-07:00,2020-07-01T03:22:08-07:00,72.19,68,29,0.1,15.125,84,37,60,95,96,96,100,303,2581,200,6017,4696,893,318,200,29,0,0,1.4375,3,50,37,47,98,80,97,2,60,54
2020-07-02,75,87,90,99,96,60,67,1,32460,29550,2910,6690,14550,8310,32,91,180,16080,,2020-07-02T08:47:30-07:00,2020-07-02T17:48:30-07:00,66.16,57,40,0.11,13.625,94,80,95,95,96,96,100,194,2254,350,3530,3337,513,845,51,31,0,0,1.1875,1,68,64,50,68,72,95,97,70,68
2020-07-03,56,35,27,53,96,52,83,100,17460,15870,1590,2100,10440,3330,44,91,510,8790,,2020-07-02T22:59:36-07:00,2020-07-03T03:50:36-07:00,74.25,66,28,0.11,15.25,94,79,95,95,96,97,100,683,2916,500,8157,11714,507,476,240,93,0,124,1.59375,1,47,25,42,98,77,96,20,66,19
2020-07-04,76,70,45,97,90,58,97,100,28560,24990,3570,3360,14670,6960,37,88,840,15030,,2020-07-03T20:02:41-07:00,2020-07-04T03:58:41-07:00,65.56,56,43,0.1,13.75,95,76,100,95,100,100,100,990,3250,350,17266,16810,582,475,264,89,30,0,1.78125,0,70,66,42,97,82,97,98,77,58
2020-07-05,76,69,75,98,90,61,94,74,28080,24750,3330,5640,11250,7860,35,88,1020,14760,,2020-07-04T19:05:10-07:00,2020-07-05T02:53:10-07:00,67.91,60,36,0.12,13.5,97,95,95,95,100,100,98,523,2780,350,11588,9362,436,5,237,67,0,695,1.5625,1,65,66,44,83,72,94,73,80,57
2020-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,86,63,60,95,100,100,89,481,2665,500,4566,7438,631,624,129,56,0,0,1.4375,3,,,,,,,,,
2020-07-07,89,100,99,100,98,63,91,63,36960,34170,2790,8610,15210,10350,32,92,690,18510,,2020-07-06T17:39:37-07:00,2020-07-07T03:55:37-07:00,62.94,55,42,0.04,14.125,85,80,100,78,100,100,80,439,2653,500,8651,7410,504,600,284,39,0,13,1.4375,0,82,93,57,88,72,100,100,86,100
